   , Year  , Datetime           , Stage                   , Stadium                                           , City                             , Home Team Name               , Home Team Goals, Away Team Goals, Away Team Name               , Attendance, Half-time Home Goals, Half-time Away Goals, Referee                             , Assistant 1                         , Assistant 2                         , RoundID, MatchID, Home Team Initials, Away Team Initials
  0, 1930.0, 1930-07-13 15:00:00, Group 1                 , Pocitos                                           , Montevideo                       , France                       ,               4,               1, Mexico                       ,       4444,                  3.0,                  0.0, LOMBARDI Domingo (URU)              , CRISTOPHE Henry (BEL)               , REGO Gilberto (BRA)                 ,       1,   10001, FRA               , MEX
  1, 1930.0, 1930-07-13 15:00:00, Group 4                 , Parque Central                                    , Montevideo                       , USA                          ,               3,               0, Belgium                      ,      18346,                  2.0,                  0.0, MACIAS Jose (ARG)                   , MATEUCCI Francisco (URU)            , WARNKEN Alberto (CHI)               ,       2,   10002, USA               , BEL
  2, 1930.0, 1930-07-14 12:45:00, Group 2                 , Parque Central                                    , Montevideo                       , Yugoslavia                   ,               2,               1, Brazil                       ,      24059,                  2.0,                  0.0, TEJADA Anibal (URU)                 , VALLARINO Ricardo (URU)             , BALWAY Thomas (FRA)                 ,       3,   10003, YUG               , BRA
  3, 1930.0, 1930-07-14 14:50:00, Group 3                 , Pocitos                                           , Montevideo                       , Romania                      ,               3,               1, Peru                         ,       2549,                  1.0,                  0.0, WARNKEN Alberto (CHI)               , LANGENUS Jean (BEL)                 , MATEUCCI Francisco (URU)            ,       4,   10004, ROU               , PER
  4, 1930.0, 1930-07-15 16:00:00, Group 1                 , Parque Central                                    , Montevideo                       , Argentina                    ,               1,               0, France                       ,      23409,                  0.0,                  0.0, REGO Gilberto (BRA)                 , SAUCEDO Ulises (BOL)                , RADULESCU Constantin (ROU)          ,       5,   10005, ARG               , FRA
  5, 1930.0, 1930-07-16 14:45:00, Group 1                 , Parque Central                                    , Montevideo                       , Chile                        ,               3,               0, Mexico                       ,       9249,                  1.0,                  0.0, CRISTOPHE Henry (BEL)               , APHESTEGUY Martin (URU)             , LANGENUS Jean (BEL)                 ,       6,   10006, CHI               , MEX
  6, 1930.0, 1930-07-17 12:45:00, Group 2                 , Parque Central                                    , Montevideo                       , Yugoslavia                   ,               4,               0, Bolivia                      ,      18306,                  0.0,                  0.0, MATEUCCI Francisco (URU)            , LOMBARDI Domingo (URU)              , WARNKEN Alberto (CHI)               ,       7,   10007, YUG               , BOL
  7, 1930.0, 1930-07-17 14:45:00, Group 4                 , Parque Central                                    , Montevideo                       , USA                          ,               3,               0, Paraguay                     ,      18306,                  2.0,                  0.0, MACIAS Jose (ARG)                   , APHESTEGUY Martin (URU)             , TEJADA Anibal (URU)                 ,       8,   10008, USA               , PAR
  8, 1930.0, 1930-07-18 14:30:00, Group 3                 , Estadio Centenario                                , Montevideo                       , Uruguay                      ,               1,               0, Peru                         ,      57735,                  0.0,                  0.0, LANGENUS Jean (BEL)                 , BALWAY Thomas (FRA)                 , CRISTOPHE Henry (BEL)               ,       9,   10009, URU               , PER
  9, 1930.0, 1930-07-19 12:50:00, Group 1                 , Estadio Centenario                                , Montevideo                       , Chile                        ,               1,               0, France                       ,       2000,                  0.0,                  0.0, TEJADA Anibal (URU)                 , LOMBARDI Domingo (URU)              , REGO Gilberto (BRA)                 ,      10,   10010, CHI               , FRA
 10, 1930.0, 1930-07-19 15:00:00, Group 1                 , Estadio Centenario                                , Montevideo                       , Argentina                    ,               6,               3, Mexico                       ,      42100,                  3.0,                  1.0, SAUCEDO Ulises (BOL)                , ALONSO Gualberto (URU)              , RADULESCU Constantin (ROU)          ,      11,   10011, ARG               , MEX
 11, 1930.0, 1930-07-20 13:00:00, Group 2                 , Estadio Centenario                                , Montevideo                       , Brazil                       ,               4,               0, Bolivia                      ,      25466,                  1.0,                  0.0, BALWAY Thomas (FRA)                 , MATEUCCI Francisco (URU)            , VALLEJO Gaspar (MEX)                ,      12,   10012, BRA               , BOL
 12, 1930.0, 1930-07-20 15:00:00, Group 4                 , Estadio Centenario                                , Montevideo                       , Paraguay                     ,               1,               0, Belgium                      ,      12000,                  1.0,                  0.0, VALLARINO Ricardo (URU)             , MACIAS Jose (ARG)                   , LOMBARDI Domingo (URU)              ,      13,   10013, PAR               , BEL
 13, 1930.0, 1930-07-21 14:50:00, Group 3                 , Estadio Centenario                                , Montevideo                       , Uruguay                      ,               4,               0, Romania                      ,      70022,                  4.0,                  0.0, REGO Gilberto (BRA)                 , WARNKEN Alberto (CHI)               , SAUCEDO Ulises (BOL)                ,      14,   10014, URU               , ROU
 14, 1930.0, 1930-07-22 14:45:00, Group 1                 , Estadio Centenario                                , Montevideo                       , Argentina                    ,               3,               1, Chile                        ,      41459,                  2.0,                  1.0, LANGENUS Jean (BEL)                 , CRISTOPHE Henry (BEL)               , SAUCEDO Ulises (BOL)                ,      15,   10015, ARG               , CHI
 15, 1930.0, 1930-07-26 14:45:00, Semi-finals             , Estadio Centenario                                , Montevideo                       , Argentina                    ,               6,               1, USA                          ,      72886,                  1.0,                  0.0, LANGENUS Jean (BEL)                 , VALLEJO Gaspar (MEX)                , WARNKEN Alberto (CHI)               ,      16,   10016, ARG               , USA
 16, 1930.0, 1930-07-27 14:45:00, Semi-finals             , Estadio Centenario                                , Montevideo                       , Uruguay                      ,               6,               1, Yugoslavia                   ,      79867,                  3.0,                  1.0, REGO Gilberto (BRA)                 , SAUCEDO Ulises (BOL)                , BALWAY Thomas (FRA)                 ,      17,   10017, URU               , YUG
 17, 1930.0, 1930-07-30 14:15:00, Final                   , Estadio Centenario                                , Montevideo                       , Uruguay                      ,               4,               2, Argentina                    ,      68346,                  1.0,                  2.0, LANGENUS Jean (BEL)                 , SAUCEDO Ulises (BOL)                , CRISTOPHE Henry (BEL)               ,      18,   10018, URU               , ARG
 18, 1934.0, 1934-05-27 16:30:00, Preliminary round       , Stadio Benito Mussolini                           , Turin                            , Austria                      ,               3,               2, France                       ,      16000,                  0.0,                  0.0, VAN MOORSEL Johannes (NED)          , CAIRONI Camillo (ITA)               , BAERT Louis (BEL)                   ,      19,   10019, AUT               , FRA
